Date : 2026-03-06 11:24:04
Directory : z:\8_code\ai-job-hunting
Total : 200 files,  60411 codes, 400 comments, 6170 blanks, all 66981 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        105 |     20,576 |        391 |      3,011 |     23,978 |
| vue                |         44 |     18,582 |          0 |      1,852 |     20,434 |
| JSON               |          9 |     12,232 |          0 |          9 |     12,241 |
| HTML               |          5 |      7,387 |          8 |        723 |      8,118 |
| Markdown           |         29 |      1,379 |          0 |        555 |      1,934 |
| Log                |          1 |         97 |          0 |          3 |        100 |
| CSS                |          4 |         92 |          1 |         14 |        107 |
| JSON with Comments |          3 |         66 |          0 |          3 |         69 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                           |        200 |     60,411 |        400 |      6,170 |     66,981 |
| . (Files)                                                                                                                                   |         11 |      4,341 |          2 |         60 |      4,403 |
| .worktrees                                                                                                                                  |        126 |     34,708 |        266 |      3,312 |     38,286 |
| .worktrees\docs-fix-architecture-review                                                                                                     |         63 |     17,346 |        133 |      1,657 |     19,136 |
| .worktrees\docs-fix-architecture-review (Files)                                                                                             |          9 |      4,303 |          2 |         52 |      4,357 |
| .worktrees\docs-fix-architecture-review\docs                                                                                                |          5 |        213 |          0 |        104 |        317 |
| .worktrees\docs-fix-architecture-review\docs (Files)                                                                                        |          4 |        206 |          0 |         98 |        304 |
| .worktrees\docs-fix-architecture-review\docs\plans                                                                                          |          1 |          7 |          0 |          6 |         13 |
| .worktrees\docs-fix-architecture-review\src                                                                                                 |         49 |     12,830 |        131 |      1,501 |     14,462 |
| .worktrees\docs-fix-architecture-review\src\app                                                                                             |          2 |         36 |          1 |         10 |         47 |
| .worktrees\docs-fix-architecture-review\src\core                                                                                            |         15 |      4,041 |         77 |        606 |      4,724 |
| .worktrees\docs-fix-architecture-review\src\core (Files)                                                                                    |          1 |         19 |          0 |          9 |         28 |
| .worktrees\docs-fix-architecture-review\src\core\ai                                                                                         |          2 |        424 |         40 |         55 |        519 |
| .worktrees\docs-fix-architecture-review\src\core\auth                                                                                       |          2 |        367 |          3 |         53 |        423 |
| .worktrees\docs-fix-architecture-review\src\core\engine                                                                                     |          1 |        529 |          2 |         85 |        616 |
| .worktrees\docs-fix-architecture-review\src\core\http                                                                                       |          2 |        227 |         18 |         48 |        293 |
| .worktrees\docs-fix-architecture-review\src\core\platform                                                                                   |          3 |      2,047 |          8 |        285 |      2,340 |
| .worktrees\docs-fix-architecture-review\src\core\protocol                                                                                   |          3 |        386 |          4 |         61 |        451 |
| .worktrees\docs-fix-architecture-review\src\core\realtime                                                                                   |          1 |         42 |          2 |         10 |         54 |
| .worktrees\docs-fix-architecture-review\src\features                                                                                        |         16 |      6,433 |         27 |        569 |      7,029 |
| .worktrees\docs-fix-architecture-review\src\features (Files)                                                                                |          1 |         17 |          0 |          8 |         25 |
| .worktrees\docs-fix-architecture-review\src\features\account                                                                                |          1 |        724 |          0 |         60 |        784 |
| .worktrees\docs-fix-architecture-review\src\features\account\components                                                                     |          1 |        724 |          0 |         60 |        784 |
| .worktrees\docs-fix-architecture-review\src\features\ai-config                                                                              |          4 |      1,665 |          0 |        179 |      1,844 |
